id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jx7tAAA,,,
a0640000002jx7TAAQ,,,
a0640000002jx7uAAA,8,8,0
a0640000002jx7UAAQ,130,76,0
a0640000002jx7vAAA,,,
a0640000002jx7wAAA,,,
a0640000002jx7WAAQ,18,13,0
a0640000002jx7xAAA,,,
a0640000002jx7XAAQ,212,123,0
a0640000002jx7yAAA,39,36,0
a0640000002jx7YAAQ,,,
a0640000002jx7zAAA,,,
a0640000002jx7ZAAQ,21,18,0
a0640000002jx80AAA,,,
a0640000002jx81AAA,,,
a0640000002jx82AAA,,,
a0640000002jx84AAA,59,45,0
a0640000002jx85AAA,6,5,0
a0640000002jx86AAA,,,
a0640000002jx87AAA,,,
a0640000002jx88AAA,,,
a0640000002jx89AAA,,,
a0640000002jx8aAAA,,,
a0640000002jx8AAAQ,,,
a0640000002jx8bAAA,,,
a0640000002jx8BAAQ,19,16,0
a0640000002jx8cAAA,171,105,0
a0640000002jx8CAAQ,,,
a0640000002jx8DAAQ,184,92,0
a0640000002jx8eAAA,62,36,0
a0640000002jx8EAAQ,,,
a0640000002jx8fAAA,46,24,0
a0640000002jx8FAAQ,,,
a0640000002jx8gAAA,481,247,0
a0640000002jx8hAAA,8,6,0
a0640000002jx8iAAA,,,
a0640000002jx8IAAQ,,,
a0640000002jx8jAAA,,,
a0640000002jx8JAAQ,,,
a0640000002jx8kAAA,,,
a0640000002jx8KAAQ,75,43,0
a0640000002jx8lAAA,,,
a0640000002jx8LAAQ,,,
a0640000002jx8MAAQ,150,85,0
a0640000002jx8nAAA,5,5,0
a0640000002jx8oAAA,,,
a0640000002jx8pAAA,13,10,0
a0640000002jx8PAAQ,92,49,0
a0640000002jx8qAAA,13,11,0
a0640000002jx8QAAQ,,,
a0640000002jx8rAAA,,,
a0640000002jx8RAAQ,,,
a0640000002jx8sAAA,,,
a0640000002jx8SAAQ,,,
a0640000002jx8tAAA,,,
a0640000002jx8TAAQ,,,
a0640000002jx8uAAA,,,
a0640000002jx8vAAA,67,35,0
a0640000002jx8VAAQ,51,21,0
a0640000002jx8wAAA,,,
a0640000002jx8WAAQ,,,
a0640000002jx8xAAA,,,
a0640000002jx8XAAQ,,,
a0640000002jx8yAAA,65,42,0
a0640000002jx8YAAQ,,,
a0640000002jx8zAAA,,,
a0640000002jx8ZAAQ,,,
a0640000002jx90AAA,,,
a0640000002jx91AAA,,,
a0640000002jx92AAA,46,20,0
a0640000002jx96AAA,43,24,0
a0640000002jx97AAA,,,
a0640000002jx98AAA,,,
a0640000002jx99AAA,157,80,0
a0640000002jx9aAAA,,,
a0640000002jx9AAAQ,64,37,0
a0640000002jx9bAAA,130,83,0
a0640000002jx9BAAQ,,,
a0640000002jx9CAAQ,5,4,0
a0640000002jx9dAAA,,,
a0640000002jx9DAAQ,,,
a0640000002jx9eAAA,,,
a0640000002jx9EAAQ,,,
a0640000002jx9fAAA,,,
a0640000002jx9gAAA,,,
a0640000002jx9GAAQ,,,
a0640000002jx9hAAA,,,
a0640000002jx9HAAQ,,,
a0640000002jx9iAAA,,,
a0640000002jx9JAAQ,,,
a0640000002jx9kAAA,,,
a0640000002jx9KAAQ,,,
a0640000002jx9lAAA,,,
a0640000002jx9LAAQ,48,23,0
a0640000002jx9mAAA,,,
a0640000002jx9MAAQ,9,8,0
a0640000002jx9nAAA,,,
a0640000002jx9NAAQ,11,7,0
a0640000002jx9oAAA,,,
a0640000002jx9OAAQ,56,38,0
a0640000002jx9pAAA,17,12,0
a0640000002jx9PAAQ,138,77,0
a0640000002jx9qAAA,355,190,0
a0640000002jx9QAAQ,150,82,0
a0640000002jx9rAAA,,,
a0640000002jx9RAAQ,,,
a0640000002jx9sAAA,25,15,0
